,PassengerId,Survived,Pclass,Sex,Master,Miss,Mr,Mrs,Others,Family,Fare-bin,Age-bin,Ticket_1,Ticket_2,Ticket_3,Ticket_4,Ticket_C,Ticket_P,Ticket_S
0,1,0.0,3,0,0,0,1,0,0,2,1,4,0,0,0,1,0,0,0
1,2,1.0,1,1,0,0,0,1,0,2,5,5,0,0,0,0,0,1,0
2,3,1.0,3,1,0,1,0,0,0,1,2,4,0,0,0,0,0,0,1
3,4,1.0,1,1,0,0,0,1,0,2,5,5,1,0,0,0,0,0,0
4,5,0.0,3,0,0,0,1,0,0,1,2,5,0,0,1,0,0,0,0
5,6,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
6,7,0.0,1,0,0,0,1,0,0,1,5,6,1,0,0,0,0,0,0
7,8,0.0,3,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0
8,9,1.0,3,1,0,0,0,1,0,3,3,4,0,0,1,0,0,0,0
9,10,1.0,2,1,0,0,0,1,0,2,4,3,0,1,0,0,0,0,0
10,11,1.0,3,1,0,1,0,0,0,3,3,1,0,0,0,0,0,1,0
11,12,1.0,1,1,0,1,0,0,0,1,4,6,1,0,0,0,0,0,0
12,13,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
13,14,0.0,3,0,0,0,1,0,0,0,4,5,0,0,1,0,0,0,0
14,15,0.0,3,1,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0
15,16,1.0,2,1,0,0,0,1,0,1,3,6,0,1,0,0,0,0,0
16,17,0.0,3,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0
17,18,1.0,2,0,0,0,1,0,0,1,3,5,0,1,0,0,0,0,0
18,19,0.0,3,1,0,0,0,1,0,2,3,5,0,0,1,0,0,0,0
19,20,1.0,3,1,0,0,0,1,0,1,1,5,0,1,0,0,0,0,0
20,21,0.0,2,0,0,0,1,0,0,1,4,5,0,1,0,0,0,0,0
21,22,1.0,2,0,0,0,1,0,0,1,3,5,0,1,0,0,0,0,0
22,23,1.0,3,1,0,1,0,0,0,1,2,3,0,0,1,0,0,0,0
23,24,1.0,1,0,0,0,1,0,0,1,4,4,1,0,0,0,0,0,0
24,25,0.0,3,1,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0
25,26,1.0,3,1,0,0,0,1,0,0,4,5,0,0,1,0,0,0,0
26,27,0.0,3,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
27,28,0.0,1,0,0,0,1,0,0,0,5,4,1,0,0,0,0,0,0
28,29,1.0,3,1,0,1,0,0,0,1,2,4,0,0,1,0,0,0,0
29,30,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
30,31,0.0,1,0,0,0,0,0,1,1,4,5,0,0,0,0,0,1,0
31,32,1.0,1,1,0,0,0,1,0,2,5,5,0,0,0,0,0,1,0
32,33,1.0,3,1,0,1,0,0,0,1,1,4,0,0,1,0,0,0,0
33,34,0.0,2,0,0,0,1,0,0,1,2,7,0,0,0,0,1,0,0
34,35,0.0,1,0,0,0,1,0,0,2,5,4,0,0,0,0,0,1,0
35,36,0.0,1,0,0,0,1,0,0,2,5,5,1,0,0,0,0,0,0
36,37,1.0,3,0,0,0,1,0,0,1,1,4,0,1,0,0,0,0,0
37,38,0.0,3,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0
38,39,0.0,3,1,0,1,0,0,0,3,3,3,0,0,1,0,0,0,0
39,40,1.0,3,1,0,1,0,0,0,2,3,3,0,1,0,0,0,0,0
40,41,0.0,3,1,0,0,0,1,0,2,2,5,0,0,0,1,0,0,0
41,42,0.0,2,1,0,0,0,1,0,2,3,4,1,0,0,0,0,0,0
42,43,0.0,3,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0
43,44,1.0,2,1,0,1,0,0,0,4,4,1,0,0,0,0,0,0,1
44,45,1.0,3,1,0,1,0,0,0,1,2,4,0,0,1,0,0,0,0
